System,Utterance,H:overall,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
84,M5,1.3333333333333333,-0.02385083170978941,0.23748429033782326,0.07936507936507936,0.034482758620689655,-0.6435268295599065,-0.6931471805599453,0.07936507936507936,0.09523809523809522,0.0,4.995138898472386,0.20772201971036908,0.5510252714157104,-0.013980318392562552
84,M6,1.6666666666666667,0.0031524856406414115,0.2732004413534168,0.04761904761904761,0.0,-0.6073983415434954,-0.6931471805599453,0.04761904761904761,0.1111111111111111,0.0,4.540013809283726,0.22439727625173744,0.5062021017074585,0.021890271602159637
84,M7,2.0,0.04055018426504475,0.2738954116947677,0.14285714285714285,0.08620689655172414,-0.6144920748638129,-0.6450593432968701,0.14285714285714285,0.14285714285714285,0.05172413793103449,5.439330544349821,0.15507678767038613,0.5303367972373962,0.11610338160802917
85,M0,1.0,-0.01994244953480384,0.21872481145219114,0.1320754716981132,0.08333333333333333,-0.6931471805599452,-0.6931471805599453,0.11320754716981132,0.1320754716981132,0.0,7.492442692259767,0.08764796544709982,0.5708786249160767,0.15732106560508516
85,M1,1.0,-0.058733661326341724,0.22122851017952339,0.1320754716981132,0.0,-0.6931471805599452,-0.6931471805599453,0.11320754716981132,0.1320754716981132,0.0,4.456882760699063,0.13600981487716765,0.4344593584537506,-0.026627561636425545
85,M2,1.0,0.1650867613465633,0.34009937867410367,0.3584905660377358,0.125,-0.6493544618703021,-0.6931471805599453,0.3018867924528302,0.37735849056603776,0.0625,4.657469807170696,0.13767706652664988,0.5186615586280823,-0.0334043849886668
85,M3,1.3333333333333333,0.002936350423041967,0.2311126258077244,0.18867924528301888,0.08333333333333333,-0.6931471805599452,-0.6931471805599453,0.16981132075471697,0.18867924528301888,0.0,4.839576869824698,0.15493010489608172,0.6168133020401001,0.18648517625731414
85,M4,1.0,0.12086477587199396,0.33139560035825866,0.2641509433962264,0.08333333333333333,-0.6081134663110426,-0.6931471805599453,0.22641509433962265,0.2830188679245283,0.0625,14.31720073264775,0.09074618671025565,0.6228069067001343,0.13510221594069582
85,M5,2.0,0.050506278323144804,0.27532243554971825,0.22641509433962265,0.041666666666666664,-0.6305032475621604,-0.6931471805599453,0.16981132075471697,0.24528301886792453,0.0,5.063996506781411,0.1294138446563305,0.6381597518920898,0.234307898039453
85,M6,1.0,0.1414059120286355,0.3179415624885966,0.32075471698113206,0.125,-0.6447836740132826,-0.6931471805599452,0.2641509433962264,0.33962264150943394,0.041666666666666664,6.585833693600902,0.13324817317729795,0.5834532976150513,0.0863138215637679
85,M7,2.0,0.11746066774170294,0.32230558428415856,0.2641509433962264,0.10416666666666667,-0.6305032475621604,-0.6931471805599453,0.24528301886792453,0.2830188679245283,0.0625,6.437165254072419,0.11439420103526733,0.5783863663673401,0.10832032700695335
86,M0,1.0,-0.006232983459460217,0.21112972675757735,0.0975609756097561,0.1388888888888889,-0.6931471805599452,-0.6931471805599452,0.0975609756097561,0.0975609756097561,0.0,3.673526562988939,0.1240053401146057,0.6690837144851685,0.22575743801798706
86,M1,3.0,0.5860628049558144,0.6004145009859204,0.34146341463414637,0.25,-0.34240258665046036,-0.5971155757463942,0.24390243902439024,0.5365853658536586,0.1111111111111111,6.742555929751843,0.18150098066567635,0.731698751449585,0.4542257299712088
86,M2,1.3333333333333333,-0.10233404016262426,0.1960609816786364,0.0,0.0,-0.6931471805599452,-0.6931471805599452,0.0,0.0,0.0,7.16047614494885,0.09278192334433051,0.6540087461471558,0.17125162054702756
86,M3,2.3333333333333335,0.41577732109534593,0.4813628527436431,0.2926829268292683,0.1111111111111111,-0.3023964123927474,-0.6931471805599452,0.24390243902439024,0.4146341463414634,0.0,9.287528999566801,0.2402481863560162,0.7365365028381348,0.4995780279870369
86,M4,2.0,0.3008361795612836,0.4013350425282328,0.21951219512195122,0.16666666666666666,-0.4255043529297775,-0.6931471805599452,0.21951219512195122,0.3170731707317073,0.0,9.287528999566801,0.14833483742549694,0.6821991801261902,0.30710549749204896
86,M5,1.0,-0.019603553342587232,0.2112319496388666,0.09756097560975611,0.1111111111111111,-0.6931471805599452,-0.6931471805599452,0.09756097560975611,0.09756097560975611,0.0,5.669791110976001,0.1104732419085614,0.6704103946685791,0.2837404083905105
86,M6,3.0,0.24067603996550868,0.37298346467337207,0.21951219512195122,0.16666666666666666,-0.5631562671180668,-0.6733429754010896,0.12195121951219512,0.34146341463414637,0.027777777777777776,5.522397783539471,0.14174393652633988,0.7227630019187927,0.43322615818815347
86,M7,2.6666666666666665,0.056476073527954695,0.28909438245767416,0.17073170731707318,0.027777777777777776,-0.5419970872308628,-0.6931471805599452,0.17073170731707318,0.17073170731707318,0.0,15.619699684601283,0.16432598857476355,0.6805461645126343,0.3443511726034682
