System,Utterance,H:pyr,bert_f_score,bert_precision_score,bert_recall_score,js-2,mover_score,rouge_1_f_score,rouge_1_precision,rouge_1_recall,rouge_2_f_score,rouge_2_precision,rouge_2_recall,rouge_l_f_score,rouge_l_precision,rouge_l_recall
2,M17,0.9,0.23355837166309357,0.23797085881233215,0.22666409611701965,-0.596742338135853,0.29893648023047203,0.38938,0.32353,0.48889,0.14414,0.1194,0.18182,0.38938,0.32353,0.48889
2,M18,0.7,0.3665856420993805,0.3934010863304138,0.3380005955696106,-0.5625118596030902,0.32372091913075074,0.39216,0.35088,0.44444,0.18,0.16071,0.20455,0.39216,0.35088,0.44444
2,M19,0.5,0.23315364122390747,0.2676740884780884,0.19662971794605255,-0.5838002803203339,0.30782009116200215,0.37624,0.33929,0.42222,0.16161,0.14545,0.18182,0.37624,0.33929,0.42222
2,M20,0.5,0.23164953291416168,0.24374793469905853,0.21712026000022888,-0.596742338135853,0.29857511736346143,0.38938,0.32353,0.48889,0.14414,0.1194,0.18182,0.38938,0.32353,0.48889
2,M21,0.5,0.2248716503381729,0.2401365041732788,0.2071908563375473,-0.5788955596401759,0.27937722148770017,0.37168,0.30882,0.46667,0.16216,0.13433,0.20455,0.37168,0.30882,0.46667
2,M22,0.5,0.21098248660564423,0.2482946664094925,0.17167657613754272,-0.5850858199546725,0.30322341926097984,0.37255,0.33929,0.41304,0.16,0.14545,0.17778,0.37255,0.33929,0.41304
2,M23,0.6,0.35171717405319214,0.37969544529914856,0.3219468295574188,-0.5625118596030902,0.32120801111821917,0.39216,0.35088,0.44444,0.18,0.16071,0.20455,0.39216,0.35088,0.44444
2,M24,0.5,0.18535281717777252,0.14054448902606964,0.22825726866722107,-0.5894705679785741,0.2655675561552606,0.35398,0.29851,0.43478,0.14414,0.12121,0.17778,0.31858,0.26866,0.3913
3,M0,0.3076923076923077,0.24138584733009338,0.1888485550880432,0.292487233877182,-0.5995575479301437,0.2655364751249766,0.48485,0.39506,0.62745,0.13846,0.1125,0.18,0.42424,0.34568,0.54902
3,M1,0.15384615384615385,0.2058139592409134,0.18929924070835114,0.21983332931995392,-0.6168211747606782,0.18242724351555528,0.375,0.31169,0.47059,0.09524,0.07895,0.12,0.35937,0.2987,0.45098
3,M2,0.38461538461538464,0.2642820477485657,0.187295600771904,0.3411441445350647,-0.5103085407183052,0.26454068141193643,0.46377,0.36782,0.62745,0.22059,0.17442,0.3,0.43479,0.34483,0.58824
3,M3,0.46153846153846156,0.2869850695133209,0.287133127450943,0.2845174968242645,-0.6120304229320193,0.23455126666066062,0.42373,0.37313,0.4902,0.10345,0.09091,0.12,0.37288,0.32836,0.43137
3,M4,0.15384615384615385,0.12629637122154236,0.14862693846225739,0.10134486109018326,-0.6036828856988208,0.1705060288128949,0.36036,0.33333,0.39216,0.12844,0.11864,0.14,0.36036,0.33333,0.39216
3,M5,0.3076923076923077,0.3434047996997833,0.2865940034389496,0.399277001619339,-0.5141323180217632,0.3377802778371559,0.5,0.41558,0.62745,0.2381,0.19737,0.3,0.39063,0.32468,0.4902
3,M6,0.38461538461538464,0.3668452203273773,0.3248211741447449,0.4074494242668152,-0.5351968792870085,0.34508963406693793,0.52713,0.4359,0.66667,0.23622,0.19481,0.3,0.51163,0.42308,0.64706
3,M7,0.3076923076923077,0.275043249130249,0.25851306319236755,0.289303719997406,-0.5902171355417212,0.2635543558467274,0.48855,0.4,0.62745,0.13953,0.11392,0.18,0.45802,0.375,0.58824
3,M8,0.23076923076923078,0.200968936085701,0.18729382753372192,0.21210196614265442,-0.6284621076083711,0.22124665220719553,0.44961,0.37179,0.56863,0.11024,0.09091,0.14,0.35659,0.29487,0.45098
3,M9,0.38461538461538464,0.22467492520809174,0.15212976932525635,0.2967163622379303,-0.5946306430268085,0.23385432319234445,0.49254,0.39759,0.64706,0.16667,0.13415,0.22,0.47761,0.38554,0.62745
3,M10,0.23076923076923078,0.2627330720424652,0.23027469217777252,0.29317063093185425,-0.585965060363183,0.2162260888457732,0.4,0.34783,0.47059,0.1356,0.11765,0.16,0.35,0.30435,0.41176
3,M11,0.3076923076923077,0.2582267224788666,0.2648451626300812,0.2492186278104782,-0.5527934467961815,0.24915231799537674,0.48214,0.44262,0.52941,0.21818,0.2,0.24,0.46428,0.42623,0.5098
3,M12,0.3076923076923077,0.3032241463661194,0.30688753724098206,0.29730215668678284,-0.5797693533871331,0.27443137805291384,0.49557,0.45161,0.54902,0.16216,0.14754,0.18,0.46017,0.41935,0.5098
3,M13,0.46153846153846156,0.45252832770347595,0.38549479842185974,0.5194396376609802,-0.47672439414260737,0.386583099267759,0.56061,0.45679,0.72549,0.26154,0.2125,0.34,0.4697,0.38272,0.60784
3,M14,0.8461538461538461,0.35955631732940674,0.23752371966838837,0.48528966307640076,-0.4971537623695157,0.2968562844171432,0.51316,0.38614,0.76471,0.25333,0.19,0.38,0.47369,0.35644,0.70588
3,M15,0.38461538461538464,0.19444215297698975,0.1791268289089203,0.20721101760864258,-0.6081138101803363,0.22790445062724451,0.47458,0.41791,0.54902,0.12069,0.10606,0.14,0.44068,0.38806,0.5098
3,M16,0.38461538461538464,0.30919399857521057,0.1615302860736847,0.4632713794708252,-0.5140688549447451,0.2920193231183654,0.47399,0.33607,0.80392,0.22222,0.15702,0.38,0.43931,0.31148,0.7451
3,M17,0.6923076923076923,0.2868388593196869,0.20858138799667358,0.36511462926864624,-0.4995630447607619,0.2723832298412563,0.46052,0.34653,0.68627,0.24,0.18,0.36,0.43421,0.32673,0.64706
3,M18,0.7692307692307693,0.27208834886550903,0.19120487570762634,0.3531131148338318,-0.5020145503810215,0.2616812703355422,0.45455,0.33981,0.68627,0.23684,0.17647,0.36,0.42857,0.32039,0.64706
3,M19,0.38461538461538464,0.3516765534877777,0.2589181065559387,0.44561275839805603,-0.4971537623695157,0.3154025160115246,0.51316,0.38614,0.76471,0.25333,0.19,0.38,0.38158,0.28713,0.56863
3,M20,0.38461538461538464,0.2789718210697174,0.19263119995594025,0.36583375930786133,-0.5271215852689557,0.2896666957505232,0.47059,0.35294,0.70588,0.19867,0.14851,0.3,0.44444,0.33333,0.66667
3,M21,0.38461538461538464,0.2773861289024353,0.21098299324512482,0.3431055545806885,-0.5079467529988925,0.25259577285840396,0.44756,0.34783,0.62745,0.22695,0.17582,0.32,0.43357,0.33696,0.60784
3,M22,0.6923076923076923,0.33407849073410034,0.24889002740383148,0.4198662340641022,-0.5180051563816275,0.33305606759368356,0.49655,0.38298,0.70588,0.22377,0.17204,0.32,0.46896,0.3617,0.66667
3,M23,0.38461538461538464,0.2773861289024353,0.21098299324512482,0.3431055545806885,-0.5079467529988925,0.25262083126906854,0.44756,0.34783,0.62745,0.22695,0.17582,0.32,0.43357,0.33696,0.60784
3,M24,0.38461538461538464,0.3668452203273773,0.3248211741447449,0.4074494242668152,-0.5351968792870085,0.34508963406693793,0.52713,0.4359,0.66667,0.23622,0.19481,0.3,0.51163,0.42308,0.64706
4,M0,0.6,0.37055060267448425,0.34619539976119995,0.39306169748306274,-0.5307366421360211,0.3191434566902933,0.35398,0.33898,0.37037,0.1982,0.18966,0.20755,0.35398,0.33898,0.37037
4,M1,0.5,0.27883973717689514,0.371196985244751,0.18738335371017456,-0.5747853552615914,0.2927656031137592,0.34343,0.36957,0.32075,0.14433,0.15556,0.13462,0.34343,0.36957,0.32075
4,M2,0.6,0.2214759886264801,0.16159997880458832,0.28017622232437134,-0.5462597135539564,0.23182176786286357,0.37096,0.32394,0.43396,0.18033,0.15714,0.21154,0.37096,0.32394,0.43396
4,M3,0.6,0.35712480545043945,0.3966927230358124,0.31608209013938904,-0.5281121375694817,0.3263444297404715,0.38462,0.39216,0.37736,0.19608,0.2,0.19231,0.38462,0.39216,0.37736
4,M4,0.9,0.30961957573890686,0.22973380982875824,0.3896910548210144,-0.5426638802778494,0.2493861632171841,0.39131,0.32143,0.5,0.17647,0.14458,0.22642,0.39131,0.32143,0.5
4,M5,0.6,0.3912462592124939,0.40373197197914124,0.37684908509254456,-0.5319258612485362,0.3248938252346738,0.38095,0.39216,0.37037,0.19418,0.2,0.18868,0.28572,0.29412,0.27778
4,M6,0.7,0.2884877622127533,0.26661497354507446,0.3082088828086853,-0.5611091641037357,0.22887846741453333,0.33576,0.28395,0.41071,0.16296,0.1375,0.2,0.32117,0.2716,0.39286
4,M7,0.3,0.02116217091679573,0.052328675985336304,-0.012759544886648655,-0.6334869909251692,0.13216346254319244,0.2449,0.1978,0.32143,0.09655,0.07778,0.12727,0.23129,0.18681,0.30357
4,M8,0.6,0.2963784635066986,0.269923597574234,0.32078874111175537,-0.5511314935210883,0.22438724349997508,0.36641,0.30769,0.45283,0.17055,0.14286,0.21154,0.35114,0.29487,0.43396
4,M9,0.6,0.31518858671188354,0.24476778507232666,0.3852539360523224,-0.5349260627945199,0.2552512024216218,0.40909,0.34615,0.5,0.18461,0.15584,0.22642,0.40909,0.34615,0.5
4,M10,0.7,0.29480689764022827,0.3166789412498474,0.2708424925804138,-0.5542696124322484,0.26654294568800085,0.38333,0.35938,0.41071,0.16949,0.15873,0.18182,0.36667,0.34375,0.39286
4,M11,0.5,0.20674419403076172,0.16546079516410828,0.2460743635892868,-0.5874450558112734,0.2615687281197342,0.34545,0.33333,0.35849,0.12963,0.125,0.13462,0.32727,0.31579,0.33962
4,M12,0.6,0.4101100265979767,0.5003517866134644,0.32096558809280396,-0.5151230974598566,0.3700581433273169,0.37895,0.42857,0.33962,0.21505,0.2439,0.19231,0.37895,0.42857,0.33962
4,M13,0.6,0.29931360483169556,0.26215454936027527,0.3346918821334839,-0.5920086419519792,0.23809461097797402,0.3937,0.34247,0.46296,0.128,0.11111,0.15094,0.31496,0.27397,0.37037
4,M14,0.7,0.33717644214630127,0.37401777505874634,0.2987191677093506,-0.5388992756025625,0.293443864062109,0.37704,0.34848,0.41071,0.2,0.18462,0.21818,0.37704,0.34848,0.41071
4,M15,0.5,0.2867763340473175,0.3075755834579468,0.2638412415981293,-0.5432507536781804,0.2574128434775733,0.39062,0.34722,0.44643,0.20635,0.1831,0.23636,0.39062,0.34722,0.44643
4,M16,0.5,0.21400661766529083,0.22469359636306763,0.20081816613674164,-0.5440199935016143,0.21571907894976217,0.39161,0.32184,0.5,0.19858,0.16279,0.25455,0.39161,0.32184,0.5
4,M17,0.5,0.24730978906154633,0.2497970312833786,0.24237900972366333,-0.5346971297608405,0.2276275423391051,0.30075,0.25316,0.37037,0.15268,0.12821,0.18868,0.30075,0.25316,0.37037
4,M18,0.7,0.22900894284248352,0.25820884108543396,0.19765692949295044,-0.538235996831998,0.19873696654993256,0.29629,0.25316,0.35714,0.15038,0.12821,0.18182,0.29629,0.25316,0.35714
4,M19,0.5,0.21541926264762878,0.2657330632209778,0.16357028484344482,-0.538235996831998,0.19892216768406312,0.29629,0.25316,0.35714,0.15038,0.12821,0.18182,0.28149,0.24051,0.33929
4,M20,0.5,0.2867763340473175,0.3075755834579468,0.2638412415981293,-0.5432507536781804,0.25783207257054097,0.39062,0.34722,0.44643,0.20635,0.1831,0.23636,0.39062,0.34722,0.44643
4,M21,0.6,0.335755318403244,0.3704293370246887,0.2994011342525482,-0.5388992756025625,0.29386006219510763,0.37704,0.34848,0.41071,0.2,0.18462,0.21818,0.37704,0.34848,0.41071
4,M22,0.6,0.3250756859779358,0.2914131283760071,0.35694679617881775,-0.5414609830994316,0.24820905069759758,0.36364,0.32836,0.40741,0.18488,0.16667,0.20755,0.34711,0.31343,0.38889
4,M23,0.5,0.2867763340473175,0.3075755834579468,0.2638412415981293,-0.5432507536781804,0.25739639854761664,0.39062,0.34722,0.44643,0.20635,0.1831,0.23636,0.39062,0.34722,0.44643
4,M24,0.7,0.2884877622127533,0.26661497354507446,0.3082088828086853,-0.5611091641037357,0.22887846741453333,0.33576,0.28395,0.41071,0.16296,0.1375,0.2,0.32117,0.2716,0.39286
5,M0,0.4,0.2656162977218628,0.26461097598075867,0.2642313838005066,-0.5086319321793709,0.32488300318034846,0.5,0.53061,0.47273,0.21569,0.22917,0.2037,0.5,0.53061,0.47273
5,M1,0.8,0.2520965337753296,0.26026836037635803,0.24152511358261108,-0.5968880643115195,0.3136096070345892,0.31579,0.375,0.27273,0.10753,0.12821,0.09259,0.31579,0.375,0.27273
5,M2,0.0,0.11942525207996368,0.1216839998960495,0.11430638283491135,-0.5858158259760944,0.2933273983127037,0.39216,0.42553,0.36364,0.14,0.15217,0.12963,0.35294,0.38298,0.32727
5,M3,0.2,0.21356269717216492,0.16211998462677002,0.2634376287460327,-0.5829647300291592,0.2878480731413119,0.36734,0.4186,0.32727,0.14583,0.16667,0.12963,0.36734,0.4186,0.32727
5,M4,0.8,0.2507781982421875,0.22434762120246887,0.2750150263309479,-0.5560365309624007,0.2933289664274258,0.40741,0.41509,0.4,0.16981,0.17308,0.16667,0.37037,0.37736,0.36364
5,M5,0.0,0.19901666045188904,0.19558924436569214,0.19983869791030884,-0.6293623702601769,0.2680664978908308,0.27587,0.2623,0.29091,0.07018,0.06667,0.07407,0.18966,0.18033,0.2
5,M6,1.0,0.25961360335350037,0.2658795416355133,0.25096002221107483,-0.5884861860371862,0.2841647777097893,0.38462,0.40816,0.36364,0.13725,0.14583,0.12963,0.36538,0.38776,0.34545
5,M7,0.0,0.21208646893501282,0.18181391060352325,0.2401229590177536,-0.6202406311980719,0.26207369541022696,0.2963,0.30189,0.29091,0.09434,0.09615,0.09259,0.2963,0.30189,0.29091
5,M8,0.0,0.08706290274858475,-0.001442234730347991,0.1757129281759262,-0.6076112937019502,0.25278786510944595,0.26966,0.35294,0.21818,0.11494,0.15152,0.09259,0.26966,0.35294,0.21818
5,M9,0.0,0.16881954669952393,0.17324115335941315,0.16170650720596313,-0.5897594456004773,0.2648776981295652,0.3619,0.38,0.34545,0.13592,0.14286,0.12963,0.32381,0.34,0.30909
5,M10,0.0,0.18235695362091064,0.16534936428070068,0.19679808616638184,-0.6771980693856152,0.24722060941090485,0.33664,0.36957,0.30909,0.0202,0.02222,0.01852,0.33664,0.36957,0.30909
5,M11,0.2,0.1878892332315445,0.21461987495422363,0.15882153809070587,-0.6075398667186748,0.26865568525539496,0.40651,0.36765,0.45455,0.1157,0.10448,0.12963,0.37399,0.33824,0.41818
5,M12,0.2,0.22450435161590576,0.18508395552635193,0.26197072863578796,-0.5696741995970874,0.2927112073283311,0.37255,0.40426,0.34545,0.14,0.15217,0.12963,0.35294,0.38298,0.32727
5,M13,0.4,0.27115246653556824,0.2829974293708801,0.25700128078460693,-0.5795790652416571,0.31512317430217407,0.39253,0.40385,0.38182,0.15238,0.15686,0.14815,0.35514,0.36538,0.34545
5,M14,0.2,0.29665711522102356,0.24723730981349945,0.34469130635261536,-0.546687177831757,0.28565871110559404,0.43972,0.36047,0.56364,0.17266,0.14118,0.22222,0.43972,0.36047,0.56364
5,M15,0.4,0.24489733576774597,0.21008411049842834,0.2776913046836853,-0.6004181465364258,0.2558814926782458,0.35,0.32308,0.38182,0.11865,0.10938,0.12963,0.33333,0.30769,0.36364
5,M16,1.0,0.15912631154060364,0.05469560995697975,0.2651577889919281,-0.5714192565182996,0.24393748073835364,0.4125,0.31429,0.6,0.13924,0.10577,0.2037,0.4,0.30476,0.58182
5,M17,0.4,0.2817462682723999,0.2434047907590866,0.3182847201824188,-0.5857878745095756,0.30307381096841524,0.37288,0.34921,0.4,0.13793,0.12903,0.14815,0.37288,0.34921,0.4
5,M18,1.0,0.25045046210289,0.2097211629152298,0.28934866189956665,-0.6004181465364258,0.26610892307880785,0.35,0.32308,0.38182,0.11865,0.10938,0.12963,0.33333,0.30769,0.36364
5,M19,0.2,0.2772067189216614,0.20486490428447723,0.3491874933242798,-0.546687177831757,0.2846198896796305,0.43972,0.36047,0.56364,0.17266,0.14118,0.22222,0.43972,0.36047,0.56364
5,M20,0.6,0.272523432970047,0.19903121888637543,0.34570685029029846,-0.5582485807718598,0.28368421073075123,0.43972,0.36047,0.56364,0.15827,0.12941,0.2037,0.43972,0.36047,0.56364
5,M21,1.0,0.3189423382282257,0.30730706453323364,0.3284023106098175,-0.5955845133974531,0.3324917867090229,0.3964,0.39286,0.4,0.12844,0.12727,0.12963,0.37838,0.375,0.38182
5,M22,1.0,0.2546209394931793,0.24620825052261353,0.2606269419193268,-0.5955845133974531,0.3177015352309156,0.3964,0.39286,0.4,0.12844,0.12727,0.12963,0.36036,0.35714,0.36364
5,M23,1.0,0.29047006368637085,0.2880019247531891,0.29062914848327637,-0.5848320344092561,0.3161502965875995,0.375,0.36842,0.38182,0.14546,0.14286,0.14815,0.35715,0.35088,0.36364
5,M24,1.0,0.25961360335350037,0.2658795416355133,0.25096002221107483,-0.5884861860371862,0.2841647777097893,0.38462,0.40816,0.36364,0.13725,0.14583,0.12963,0.36538,0.38776,0.34545
6,M0,0.6,0.10913410782814026,0.010802787728607655,0.20842818915843964,-0.6440355561504656,0.21429286621981491,0.349,0.25743,0.54167,0.05442,0.04,0.08511,0.33557,0.24752,0.52083
6,M1,0.4,0.23948337137699127,0.19190070033073425,0.2854311466217041,-0.6046301564778065,0.25416035633361633,0.4,0.34328,0.47917,0.1062,0.09091,0.12766,0.4,0.34328,0.47917
6,M2,0.3,0.1179419681429863,0.10237850248813629,0.13071176409721375,-0.6524583392346526,0.2513807866104548,0.36975,0.30986,0.45833,0.05128,0.04286,0.06383,0.33614,0.28169,0.41667
