System,Utterance,H:mlqe,XBERTScore,XMoverScore (UMD),XMoverScore (CLP),Unsupervised XMoverScore,Unsupervised ContrastScore,Unsupervised XmoverScore + ContrastScore,Fine-tuned XMoverScore,Fine-tuned ContrastScore,Fine-tuned XMoverScore + ContrastScore
2,et-en,-0.43096625223491175,0.2813684344291687,-1.5841532988874847,-1.5841532988874847,-1.33369453537085,0.8085680603981018,-0.4767895042896271,-1.2750890808792956,0.8705863952636719,-0.41681888699531555
2,ne-en,0.17902702599004652,0.6662158966064453,-1.7029740099901483,-1.7029740099901483,-1.5022549393361642,0.7825811505317688,-0.5883204936981201,-1.2721231107159587,0.8332599997520447,-0.4299698770046234
2,si-en,0.40344032868205243,0.5838963389396667,-2.1243140893165853,-2.1243140893165853,-1.9084693393618797,0.5606810450553894,-0.9208092093467712,-1.4833380813903698,0.8359724283218384,-0.5556138753890991
3,en-de,0.5445189143860042,0.7444227337837219,-0.9145565719003399,-0.9145565719003399,-1.0971870424254395,0.8411832451820374,-0.3218388855457306,-0.7822331824847872,0.9479525089263916,-0.09015890955924988
3,en-zh,-0.8031655851550985,0.26693761348724365,-1.4268890123776814,-1.4268890123776814,-1.3049236379574098,0.8301600217819214,-0.4508901536464691,-1.0386516887130748,0.8839820623397827,-0.2695981562137604
3,ru-en,0.6145995181729588,0.5114703178405762,-1.6367710527626815,-1.6367710527626815,-1.5954890876679508,0.6861326098442078,-0.6828404068946838,-1.5007566630622828,0.8174092769622803,-0.5734902620315552
3,ro-en,0.8020186896776442,0.7698120474815369,-1.4906238458261152,-1.4906238458261152,-1.2321733386934368,0.8492493033409119,-0.39960429072380066,-1.0826640498495825,0.9096925854682922,-0.28572139143943787
3,et-en,-0.6685898009091642,0.12832096219062805,-1.6790253977738803,-1.6790253977738803,-1.4719066897056752,0.8090550303459167,-0.5595220327377319,-1.2370601766598455,0.7494644522666931,-0.44245028495788574
3,ne-en,-0.1946991755215043,0.5549632906913757,-1.9939081868824777,-1.9939081868824777,-1.753956975734518,0.40070614218711853,-0.8920917510986328,-1.6545946920753922,0.4343900978565216,-0.819000780582428
3,si-en,0.4725061338196461,0.6821298003196716,-2.038144367273418,-2.038144367273418,-1.8169694698049095,0.7135397791862488,-0.8047658205032349,-1.1794492536230938,0.8630284667015076,-0.36245816946029663
