System,Utterance,H:pyr,H:resp,S3_pyr,S3_resp,ROUGE_WE_1,ROUGE_WE_2,JS_1,JS_2,ROUGE_L,ROUGE_1,ROUGE_2,BLEU,Chrfpp,BERTScore,MoverScore
37,M26,0.143,0.4,0.31639917818535257,0.43945108924559273,0.38423645320197036,0.16666666666666666,-0.46085090681282925,-0.6149989799841604,0.187192118226601,0.3866995073891626,0.1044776119402985,13.66014163727417,0.3686840814473152,0.5819489359855652,0.13929616938907033
37,M27,0.536,0.6,0.4737079267790192,0.5480469831182287,0.43103448275862066,0.25870646766169153,-0.3680177917621855,-0.5649755311974602,0.22167487684729065,0.43596059113300495,0.16417910447761194,27.68365172134261,0.38884191733706186,0.6224217414855957,0.22236936483314132
37,M28,0.179,0.4,0.3768542226831373,0.49684162528959386,0.3916256157635468,0.19154228855721392,-0.41532556994484743,-0.5676298667415458,0.22660098522167488,0.39408866995073893,0.14925373134328357,27.396105273273598,0.33634998274300887,0.5938436985015869,0.1572188472976847
37,M29,0.179,0.4,0.45268004557576225,0.5403829387571678,0.43349753694581283,0.22885572139303484,-0.37113645959012526,-0.5645909614041545,0.229064039408867,0.43349753694581283,0.16169154228855723,27.114062255997485,0.35815771701187843,0.6083748936653137,0.20357704928319545
37,M30,0.0,0.2,0.07224341793780797,0.30390645745522293,0.0,0.0,-0.34657359027997275,-0.34657359027997264,0.0,0.0,0.0,0.0,0.0,0.1977861076593399,-0.5290170471887287
37,M31,0.286,0.4,0.41275837691948414,0.5194788205250047,0.4137931034482759,0.19900497512437815,-0.38665815469895093,-0.5686395569115045,0.23399014778325122,0.4137931034482759,0.15422885572139303,25.607647845764742,0.3426989330817865,0.6054530739784241,0.17246728213071477
37,M32,0.0,0.2,0.2082776005569711,0.37513838544709033,0.31773399014778325,0.11691542288557213,-0.5244653653530882,-0.6386551118022803,0.16009852216748768,0.3251231527093596,0.07462686567164178,12.67581002744727,0.3464566206411286,0.5387530326843262,0.07766037573310294
37,M33,0.0,0.2,0.07224341793780797,0.30390645745522293,0.0,0.0,-0.34657359027997275,-0.34657359027997264,0.0,0.0,0.0,0.0,0.0,0.1977861076593399,-0.5290170471887287
37,M34,0.179,0.4,0.43223441346172153,0.5279850880722693,0.4064039408866995,0.22388059701492538,-0.3803420644431485,-0.5582874969036014,0.229064039408867,0.4137931034482759,0.15671641791044777,28.551449619322767,0.34339430576788454,0.607530951499939,0.16621429723876374
37,M35,0.179,0.4,0.24242993334469776,0.3890042330111443,0.2881773399014778,0.14925373134328357,-0.485952105834605,-0.6297760545542723,0.15517241379310345,0.3078817733990148,0.07213930348258707,5.62427027621383,0.3544394097266,0.5675984025001526,0.11047432014845018
37,M36,0.179,0.4,0.43223441346172153,0.5279850880722693,0.4064039408866995,0.22388059701492538,-0.3803420644431485,-0.5582874969036014,0.229064039408867,0.4137931034482759,0.15671641791044777,28.551449619322767,0.34339430576788454,0.607530951499939,0.16621429723876374
37,M37,0.0,0.2,0.14592238119365997,0.3347157783786223,0.24876847290640394,0.10199004975124377,-0.5445076221251038,-0.651219314334635,0.1330049261083744,0.2561576354679803,0.05223880597014925,9.391782170265241,0.31124903190259645,0.5248379111289978,0.08317692884099939
37,M38,0.143,0.4,0.3630504144765998,0.480224657703897,0.3768472906403941,0.19651741293532338,-0.4248980418038318,-0.5872216021410908,0.2044334975369458,0.3817733990147783,0.13681592039800994,23.507984029561236,0.3743655679439567,0.6055333614349365,0.18747047019191976
37,M39,0.036,0.4,0.17242278779383124,0.3585929293917842,0.2733990147783251,0.07960199004975124,-0.5089070783227845,-0.6475416074491886,0.13793103448275862,0.2832512315270936,0.05472636815920398,3.323681936270988,0.3444164481047975,0.500426173210144,0.05924263522406695
